Mehdi	1997	13.4819
Corinne	1994	15.4408
Didier	1969	19.2559
Roger	1994	15.2232
Marc	1995	15.3209
Alban	1976	14.3468
Lucile	1990	11.8009
Elsa	1987	12.5547
Pascal	1981	17.8527
Brigitte	1998	10.3627
Florence	1990	11.4549
Yannick	1997	12.0102
Florent	1985	14.9186
Ludivine	1998	10.9556
Adelphe	1978	18.3261
Serge	1980	11.1399
David	1989	16.6353
Abdel	1993	10.441
Adel	1977	12.5025
David	1998	14.2621
Jeanne	1975	15.238
Dominique	1978	11.6609
Catherine	1998	12.981
Anatole	1976	18.7303
Emma	1980	18.2597
Charlotte	1997	12.5208
Vladimir	1984	17.3208
Manon	1969	19.9146
Anne	1971	20.2118
Djalil	1987	12.4272
Valentine	1991	16.4716
Adam	1989	14.8956
Jean	1984	11.502
Tiphaine	1976	19.6326
Victor	1979	15.282
Hugues	1986	11.8835
Nadia	1980	15.5507
Gaspard	1988	15.904
Flavie	1984	14.4432
Gwenael	1991	12.3595
Armel	1982	10.0578
Johanna	1979	19.195
Isidore	1994	13.6795
Thibault	1996	12.6061
Jessica	1985	10.4473
Axelle	1978	10.9037
Gaston	1974	11.7615
Julien	1970	15.1324
Pauline	1980	17.8173
Muriel	1985	13.3826
Agathe	1986	11.3175
Romain	1971	17.4075
Karen	1978	10.3063
Anne	1985	16.0113
Renaud	1997	15.0538
Chantal	1970	18.8237
Emmanuelle	1971	21.0604
Bruno	1980	18.6769
Hannibal	1978	19.3087
Christine	1981	16.2162
Lou	1987	12.9802
Olga	1993	10.8275
Martin	1976	10.5395
Karine	1986	14.726
Victoria	1992	10.7779
Pascal	1981	13.0775
Brice	1972	18.6253
Daniel	1984	14.1365
Constant	1997	10.5329
Lucile	1977	13.5461
Isabelle	1977	19.6329
Guilhem	1995	10.2576
Gabriel	1994	14.6283
Lou	1996	11.371
Anne	1994	14.5903
Gabrielle	1993	14.0672
Adam	1973	13.7198
Magali	1997	14.9304
Nathan	1981	18.0646
Fabien	1992	15.7948
Cyprien	1988	11.9856
Achille	1982	16.1829
Auguste	1991	10.6882
Hugues	1978	15.619
Anatole	1986	15.3534
Gladys	1982	11.0288
Damien	1984	18.497
Catherine	1975	11.8424
Amaury	1976	19.8516
Gilles	1982	12.8448
Ariane	1990	15.0859
Henri	1973	20.902
Corentin	1993	11.9219
Florian	1975	10.7513
Leila	1975	12.5042
Chantal	1997	14.8504
Sandrine	1976	14.0425
Carlos	1992	12.2851
Caroline	1988	15.774
Sacha	1981	14.0714
Valentin	1980	16.9929
Roger	1991	12.5573
Gilles	1974	13.53
Alexandre	1984	18.3332
Maureen	1984	14.6709
Marine	1976	10.5377
Vivien	1983	13.6911
Caroline	1972	19.8927
Sophie	1996	15.119
Jamila	1971	15.9972
Constant	1971	17.7392
Rodolphe	1996	10.4636
Emma	1981	14.7101
Dominique	1990	15.6451
Nadine	1992	13.4931
Mireille	1989	12.9702
Lucas	1979	16.9957
Nour	1992	11.0416
Adel	1971	18.4253
Henri	1970	15.9517
Faustine	1991	12.181
Corinne	1998	10.5325
Henri	1980	13.9374
Basile	1974	11.8191
Coline	1986	16.8961
Brice	1998	11.7391
Angela	1997	10.8452
Valentin	1982	16.2598
Vanessa	1998	14.6275
Flavie	1995	10.3306
Gabriel	1977	10.3092
Sarah	1992	11.5499
Estelle	1978	13.9057
Arnaud	1971	12.9822
Hermione	1974	11.0723
Abel	1969	20.0502
Maxime	1983	15.152
Lionel	1979	18.7305
Guillaume	1993	11.5562
Ariane	1986	11.6742
Abel	1974	18.1444
Coline	1977	16.3701
Martine	1990	13.0852
Djalil	1970	10.3575
Blandine	1976	16.3117
Baptiste	1988	13.5924
Thierry	1982	16.2976
Muriel	1993	15.865
Maguelone	1975	15.2255
Antonin	1974	11.2944
Gabrielle	1979	14.4266
Maxime	1996	14.927
Naomi	1975	12.86
Lou	1975	18.0708
Emmanuel	1980	19.2111
Agathe	1981	13.8439
Didier	1995	15.5771
Florence	1973	18.8877
Morgan	1986	12.9482
Lionel	1995	10.7656
Capucine	1993	15.0568
Blandine	1974	20.3149
Sarah	1989	10.2287
Valentine	1982	15.5094
Clovis	1974	18.655
Oscar	1977	14.261
Lionel	1986	11.7909
Fiona	1993	13.5559
Laurent	1973	14.4387
Blandine	1998	10.9258
Agnan	1976	13.1824
Axel	1973	11.6728
Raoul	1998	13.9717
Laurence	1971	20.8688
Clotilde	1969	21.8818
Serge	1987	11.1202
Lilian	1982	11.3489
Laetitia	1982	18.8151
Odile	1981	17.2447
Gervais	1976	18.5597
Dominique	1993	14.4278
Mohamed	1981	18.2045
Solange	1986	12.0522
Aymeric	1993	15.2535
Karine	1996	12.3939
Abel	1977	19.5417
Raymond	1978	10.7025
Judith	1984	17.7389
Albert	1982	13.0113
Agnan	1996	13.2663
Jocelyn	1972	10.8185
Mireille	1979	10.8386
Alban	1990	16.1325
Charlotte	1991	10.739
Adam	1998	10.0847
Agathe	1985	11.4343
Lilian	1985	12.0079
Joseph	1981	18.7713
Daniel	1970	20.5372
Rachel	1979	13.7078
Capucine	1978	14.5121
