Abdel Clermont-Ferrand 20 10.5733
Abdel Marseille 42 11.9381
Abdel Paris 35 17.4805
Abdel Paris 32 10.3748
Abdel Paris 23 12.3285
Abdel Toulouse 31 13.9746
Abdel Toulouse 25 10.441
Abderrahmane Lille 26 16.1535
Abderrahmane Lille 22 12.9219
Abderrahmane Lyon 36 11.5622
Abderrahmane Marseille 41 10.7321
Abderrahmane Paris 25 16.0226
Abel Bordeaux 20 11.3989
Abel Marseille 28 17
Abel Paris 32 14.9239
Abel Paris 21 10.5326
Abel Paris 21 13.3723
Abel Paris 20 11.6693
Abel Toulouse 49 20.0502
Abel Toulouse 44 18.1444
Abel Toulouse 41 19.5417
Achille Bordeaux 41 19.3944
Achille Brest 30 10.8953
Achille Lille 27 12.3436
Achille Lyon 43 20.6393
Achille Lyon 39 10.4932
Achille Lyon 29 11.0509
Achille Marseille 32 10.7499
Achille Paris 47 14.5505
Achille Paris 22 12.5252
Achille Toulouse 36 16.1829
Adam Clermont-Ferrand 45 19.1214
Adam Lille 28 10.1466
Adam Lille 23 10.369
Adam Lyon 46 14.348
Adam Lyon 43 10.9518
Adam Lyon 42 15.4195
Adam Lyon 37 17.7527
Adam Marseille 49 17.8316
Adam Marseille 30 16.0434
Adam Marseille 24 12.0143
Adam Marseille 20 14.6092
Adam Paris 39 18.1618
Adam Paris 23 10.9404
Adam Toulouse 45 13.7198
Adam Toulouse 29 14.8956
Adam Toulouse 20 10.0847
Adel Lille 47 11.9535
Adel Lille 24 10.4996
Adel Lyon 20 11.2221
Adel Marseille 45 14.3207
Adel Marseille 22 12.7547
Adel Paris 48 11.9378
Adel Toulouse 47 18.4253
Adel Toulouse 41 12.5025
Adeline Bordeaux 36 14.3279
Adeline Bordeaux 31 14.0673
Adeline Lille 37 15.7357
Adeline Lyon 46 11.346
Adeline Marseille 44 18.8815
Adeline Marseille 33 10.2922
Adeline Marseille 32 14.6597
Adeline Marseille 30 17.3756
Adeline Paris 48 20.7269
Adeline Toulouse 46 11.0152
Adelphe Bordeaux 47 16.1855
Adelphe Brest 34 10.6259
Adelphe Lyon 28 10.6731
Adelphe Marseille 43 14.4796
Adelphe Marseille 41 17.633
Adelphe Marseille 28 10.3518
Adelphe Marseille 24 11.8731
Adelphe Paris 28 15.7825
Adelphe Toulouse 40 18.3261
Adrien Bordeaux 46 12.467
Adrien Bordeaux 37 15.0577
Adrien Bordeaux 22 13.6892
Adrien Brest 42 13.2976
Adrien Brest 34 16.2775
Adrien Clermont-Ferrand 48 21.0196
Adrien Lille 38 17.1937
Adrien Lyon 30 15.5956
Adrien Paris 44 18.1042
Adrien Paris 30 16.8719
Adrien Paris 25 12.8857
Agathe Bordeaux 44 18.4458
Agathe Bordeaux 29 11.4101
Agathe Lille 39 17.1564
Agathe Lyon 36 18.4906
Agathe Marseille 45 14.3066
Agathe Paris 42 11.8944
Agathe Paris 27 11.5843
Agathe Toulouse 37 13.8439
Agathe Toulouse 33 11.4343
Agathe Toulouse 32 11.3175
Agnan Bordeaux 22 10.2067
Agnan Lille 41 12.2778
Agnan Lyon 37 15.8168
Agnan Lyon 36 14.9526
Agnan Marseille 26 13.7485
Agnan Marseille 26 14.9593
Agnan Paris 34 14.0743
Agnan Paris 34 16.1759
Agnan Paris 25 14.6827
Agnan Toulouse 42 13.1824
Agnan Toulouse 22 13.2663
Agnan Toulouse 22 15.3296
Alain Bordeaux 34 13.638
Alain Clermont-Ferrand 26 15.8366
Alain Lille 41 11.6721
Alain Lille 28 13.7779
Alain Lyon 31 14.4756
Alain Marseille 47 16.4795
Alain Marseille 43 19.9692
Alain Paris 43 12.8453
Alban Clermont-Ferrand 35 15.4217
Alban Clermont-Ferrand 23 15.4679
Alban Paris 39 13.526
Alban Paris 28 12.681
Alban Toulouse 42 14.3468
Alban Toulouse 35 13.5877
Alban Toulouse 32 14.9056
Alban Toulouse 28 16.1325
Albert Bordeaux 39 17.5625
Albert Lille 47 13.4569
Albert Marseille 41 14.5963
Albert Marseille 20 10.6865
Albert Paris 43 15.8719
Albert Paris 35 18.5055
Albert Toulouse 36 13.0113
Alexandre Bordeaux 31 13.9954
Alexandre Bordeaux 25 12.1135
Alexandre Clermont-Ferrand 47 12.6254
Alexandre Clermont-Ferrand 39 12.9051
Alexandre Lille 45 11.8564
Alexandre Lille 30 15.7986
Alexandre Lyon 49 15.8266
Alexandre Lyon 30 16.7676
Alexandre Marseille 42 12.8044
Alexandre Marseille 41 19.0201
Alexandre Marseille 27 10.45
Alexandre Paris 26 10.6668
Alexandre Paris 26 11.0852
Alexandre Toulouse 34 18.3332
Alexis Brest 48 20.6301
Alexis Lille 39 11.6299
Alexis Lille 26 10.2304
Alexis Lyon 22 13.0377
Alexis Marseille 37 16.0641
Alexis Marseille 23 15.1137
Alexis Paris 40 11.5529
Alexis Paris 20 14.7165
Alice Brest 31 14.0893
Alice Clermont-Ferrand 31 17.1236
Alice Clermont-Ferrand 21 10.5586
Alice Lille 49 16.537
Alice Lyon 47 21.0548
Alice Lyon 27 12.8004
Alice Lyon 27 16.4447
Alice Marseille 42 13.0676
Alice Paris 42 14.3153
Alice Paris 35 14.2512
Alice Paris 32 11.2209
Alix Bordeaux 20 12.1294
Alix Brest 26 12.1497
Alix Lille 44 11.9705
Alix Lille 24 10.2556
Alix Lille 22 12.9867
Alix Lyon 24 11.7139
Alix Marseille 49 14.4541
Alix Marseille 47 18.9024
Alix Paris 41 19.2876
Alix Paris 30 16.6804
Alix Paris 29 13.3731
Alphonse Bordeaux 48 17.0355
Alphonse Bordeaux 46 12.3481
Alphonse Bordeaux 36 15.2093
Alphonse Clermont-Ferrand 29 17.1169
